SPEAKER_01: So, hello.

SPEAKER_01: Hello, Bob.

**[03.2s] SPEAKER_01:** So, yes, I'm Bob Summerwill, recording here at DevCon Prague for Early Days of Ethereum.

**[09.0s] SPEAKER_01:** And I have here Jakub Ciepluch.

**[14.3s] SPEAKER_01:** Good enough.

**[14.9s] SPEAKER_01:** Good enough.

**[15.5s] SPEAKER_01:** Ciepluch.

**[16.3s] SPEAKER_01:** Yes, there you go.

**[17.9s] SPEAKER_01:** So, yeah, we've known each other about three years or so now.

**[23.5s] SPEAKER_01:** I think we did meet in Bogota for DevCon 6 for the first time, where you introduced yourself.

**[31.3s] SPEAKER_01:** I was not aware of your background and role, but...

**[36.9s] SPEAKER_01:** But yeah, specifically, you were an intern at Dev in Berlin in late 2015, and you also attended DevCon 1.

**[49.8s] SPEAKER_01:** So how did you come to be involved with Ethereum at that time?

**[55.0s] SPEAKER_00:** Oh, yeah. Thank you for the intro and good question.

**[57.3s] SPEAKER_00:** It was in Bogota.

**[58.2s] SPEAKER_00:** I think I knew about you or of you for longer than since then.

**[62.0s] SPEAKER_00:** But yeah, I think you were chatting with someone and talking about Florian Glatz, maybe, and talking about the old days.

**[70.9s] SPEAKER_00:** And I just jumped in because I know Florian and found out that we have a shared interest in the old days of Ethereum.

**[79.0s] SPEAKER_00:** And yeah, I did my internship working on the Python client back starting September or August 2015.

**[90.8s] SPEAKER_00:** I think it was like maybe August to December?

**[92.9s] SPEAKER_00:** Yeah, it was August to December.

**[94.0s] SPEAKER_00:** It was a couple of weeks after Mainnet launched and the first week I was there was when there was like the first big fork where the Go client forked from the C++ and Python client.

**[108.3s] SPEAKER_00:** There was a chain split on mainnet?

**[110.3s] SPEAKER_00:** Yes.

**[111.1s] SPEAKER_00:** And it happened, I think, the second day I was there.

**[114.7s] SPEAKER_00:** And that was the same day that there was a meetup planned in the office.

**[118.4s] SPEAKER_00:** Right.

**[119.6s] SPEAKER_00:** So everything was extremely chaotic and people arrived at the office for the meetup and nothing happened for a good amount of time.

**[125.8s] SPEAKER_00:** And eventually I was just sitting there in the corner working and I was like, no, we can't do this because there's so many people who are just like looking.

**[133.8s] SPEAKER_00:** Some started leaving.

**[134.8s] SPEAKER_00:** So I kind of ad hoc jumped in and gave a presentation on Ethereum back then that I had given a couple of weeks before back in Copenhagen.

**[146.2s] SPEAKER_01:** Prior to your internship.

**[147.9s] SPEAKER_00:** Yeah, I gave the presentation prior to my internship because I started a Copenhagen Ethereum meetup group.

**[152.8s] SPEAKER_00:** Oh, goodness.

**[153.9s] SPEAKER_01:** So when do you think that started?

**[156.1s] SPEAKER_00:** I know exactly when it started. It started on the 14th of July 2015.

**[159.6s] SPEAKER_00:** Right, right.

**[161.7s] SPEAKER_00:** And the reason I got into Ethereum was I was studying computer science.

**[166.1s] SPEAKER_00:** Okay.

**[166.5s] SPEAKER_00:** And I knew about Bitcoin and thought it would be interesting to write my bachelor thesis on Bitcoin.

**[171.6s] SPEAKER_01:** So this was an internship while you were still doing an undergraduate?

**[175.5s] SPEAKER_00:** No, it was actually an internship that I got because I wrote my bachelor thesis on Ethereum in the spring of 2015.

**[181.7s] SPEAKER_00:** I see.

**[182.1s] SPEAKER_00:** So you had graduated.

**[183.2s] SPEAKER_00:** Yeah, but just a bachelor.

**[185.1s] SPEAKER_00:** Right.

**[185.6s] SPEAKER_00:** And because the Ethereum ecosystem, so to speak, was so small back then.

**[190.0s] SPEAKER_00:** Right, right.

**[191.9s] SPEAKER_00:** I... We were in contact with the Ethereum Foundation during the internship.

**[197.2s] SPEAKER_00:** I think I opened my first issue in March 2015 to the C++ client or something like that.

**[208.8s] SPEAKER_00:** I've known of Ethereum since the end of 2014, but anyway.

**[215.3s] SPEAKER_00:** We wrote the bachelor thesis, me and two of my friends, and we shared it with the foundation, and then we got offered internships.

**[225.1s] SPEAKER_00:** Right, right.

**[225.5s] SPEAKER_00:** And I was the only one. I was tired of studying already, only after a bachelor, and the other two guys wanted to continue, so I was like, okay, I'm going to do this.

**[234.5s] SPEAKER_00:** And a couple of weeks later, I moved to Berlin to do my internship working on the Python client.

**[240.5s] SPEAKER_00:** Right, right.

