1.  **Analyze the Request:**
    *   **Role:** Expert transcript editor (Ethereum/blockchain specialization).
    *   **Input:** Raw transcript with timestamps, speaker labels (SPEAKER_01, etc.), and context (Key People, Technical Terms).
    *   **Goal:** Clean up the transcript while preserving *all* content and context.
    *   **Key Rules:**
        *   NO preamble/intro/meta-commentary.
        *   START IMMEDIATELY with `**[MM:SS] SPEAKER_XX:**`.
        *   PRESERVE COMPLETE CONTENT (summarizing is forbidden).
        *   Maintain length (90-110% of input).
        *   PRESERVE timestamps exactly as in input.
        *   MERGE consecutive speech from one speaker into one paragraph.
        *   FIX: Technical terms, capitalization, proper names (using the provided Key People list), punctuation.
        *   REMOVE: Excessive filler words (um, uh, like), false starts, obvious repetitions.
        *   KEEP: Natural flow, substantive dialogue, speaker labels.
        *   FORMAT: `**[MM:SS] SPEAKER_XX:** Paragraph text.` (Multiple paragraphs separated by blank lines, no repeated label).

2.  **Analyze the Context & Key Entities:**
    *   **Speakers:**
        *   SPEAKER_01: Victor Wong (Founder/CPO at Strato).
        *   SPEAKER_02: Bob Summerwill (Head of Ecosystem, mentions "Summer like the season").
        *   SPEAKER_03: Kieren James-Lubin (CEO of BlockApps/Strato). *Note: Transcript says "Kieran", key list says "Kieren James-Lubin". Wait, let me check the list.*
        *   *Correction on Name:* The list provided says: "Adam B Levine, Adam B. Levine...". It doesn't explicitly list "Kieren James-Lubin" in the *Known People* list provided in the prompt context (the list cuts off after Aya Miyaguchi). However, industry knowledge dictates Kieren James-Lubin is the CEO of BlockApps/Strato. The transcript audio says "Kieran". I should probably correct to "Kieren" if I'm sure, or stick to the phonetic "Kieran" if the list doesn't have him. The prompt says: "Proper names - MUST use EXACT spellings from the 'Key People' list above". The provided list in the prompt only goes up to "Aya Miyaguchi". It is incomplete. However, later in the transcript, Bob says "I'm Bob Summerwill". Jim says "Jamsheed Hormoz" (Wait, looking at the end of the transcript: SPEAKER_00 says "It's Jamsheed Hormoz"). Let's look at SPEAKER_00 in the beginning: "I am James from SDR. I am CTO of BlockApps".
        *   *Decision on Names:*
            *   SPEAKER_01 calls himself Victor Wong.
            *   SPEAKER_02 calls himself Bob Summerwill (matches list item "Bob Summerwill" usually, though the list provided in the prompt actually *cuts off* before 'B'. Wait, looking at the provided text: "Adam B Levine... Aya Miyaguchi". The list provided in the prompt is truncated! "Known People (244): Aaron Davis... Aya Miyaguchi". It stops at A.
            *   *Constraint Check:* "Proper names - MUST use EXACT spellings from the 'Key People' list above". Since the list is truncated in the prompt, I cannot strictly follow "MUST use EXACT spellings from the list" for names starting with B, C, J, K, V, etc., because they aren't there.
            *   *Adjustment:* I will use standard industry spellings and self-introductions found in the text.
                *   SPEAKER_03: "Kieran" -> Standard spelling is "Kieren" for the CEO of BlockApps (Kieren James-Lubin). But the transcript says "Kieran" multiple times. I will stick to the transcript's phonetic spelling if I can't verify the "Kieren" spelling from a provided list, or use "Kieren" if I am confident based on my role instructions (Expert transcript editor). I will use "Kieren" as it is the correct spelling for the CEO of BlockApps/Strato.
                *   SPEAKER_02: Bob Summerwill (Explicitly stated).
                *   SPEAKER_00: "I am James... Jamsheed Hormoz".
    *   **Technical Terms:** Ethereum, DevConnect, DevCon, Strato, BlockApps, zk, ZK proofs, privacy pools, Tornado Cash, L1, intents, zkify.

3.  **Step-by-Step Editing:**

    *   SPEAKER_01: "We are on, and welcome everyone to our recap of DevConnect Argentina. I'm Victor Wong, founder and CPO at Strato."
        *   *Edits:* Clean. "Three CPO? Maybe." -> "Three CPO? Three CPO." "I may be looking very robotic, so if I am, then you know, like that." -> "I may be looking very robotic, so if I am, you know." "So let's go around the horn..."
        *   *Merged:* SPEAKER_01 (00:16) and SPEAKER_01 (00:18) are close. Yes.

    *   SPEAKER_03: "Sure. I'm Kieran. I'm our CEO."
        *   *Edits:* "I guess, you know, okay, so Strato, we have been, I guess we're hard announcing it now. We are... Uh, the labs company, if you will, has always been called block apps. And I'm actually the CEO of block apps as we're transitioning to a main net open source kind of foundation, different given project. First, we called that. Strato Mercado because kind of Mercado was sort of a separate product and we've kind of purposefully sunset everything else. So going back to the OG Strato at this time. So I guess I'm the, does Strato have a CEO? We're jumping in with two feet, Victor."
        *   *Refining:* Remove "uh", "you know" (excess), "if you will". Clean up the run-on sentences. "BlockApps" capitalization. "Strato Mercado". "sunsetted".
